Sector,IndustryGroup,Code,Company
Financials,Insurance,8080,SABB TAKAFUL
Financials,Insurance,8100,SAICO
Financials,Insurance,8120,GULF UNION
Financials,Insurance,8130,ATC
Financials,Insurance,8140,ALAHLIA
Financials,Insurance,8150,ACIG
Financials,Insurance,8160,AICC
Financials,Insurance,8170,ALETIHAD
Financials,Insurance,8180,ALSAGR INSURANCE
Financials,Insurance,8190,UCA
Financials,Insurance,8200,SAUDI RE
Financials,Insurance,8210,BUPA ARABIA
Financials,Insurance,8230,ALRAJHI TAKAFUL
Financials,Insurance,8240,CHUBB
Financials,Insurance,8250,AXA COOPERATIVE
Financials,Insurance,8260,GULF GENERAL
Financials,Insurance,8270,BURUJ
Financials,Insurance,8280,ALALAMIYA
Financials,Insurance,8290,SOLIDARITY
Financials,Insurance,8300,WATANIYA
Financials,Insurance,8310,AMANA INSURANCE
Financials,Insurance,8311,ENAYA
Financials,Insurance,8312,ALINMA TOKIO M
Financials,Insurance,8110,WAFA INSURANCE
Information Technology,Software & Services,7200,MIS
Information Technology,Software & Services,7201,ARAB SEA
Communication Services,Telecommunication Services,7010,STC
Communication Services,Telecommunication Services,7020,ETIHAD ETISALAT
Communication Services,Telecommunication Services,7030,ZAIN KSA
Communication Services,Telecommunication Services,7040,ATHEEB TELECOM
Utilities,Utilities,2080,GASCO
Utilities,Utilities,5110,SAUDI ELECTRICITY
Read Estate,REITs,4330,RIYAD REIT
Read Estate,REITs,4331,ALJAZIRA REIT
Read Estate,REITs,4332,JADWA REIT ALHARAMAIN
Read Estate,REITs,4333,TALEEM REIT
Read Estate,REITs,4334,AL MAATHER REIT
Read Estate,REITs,4335,MUSHARAKA REIT
Read Estate,REITs,4336,MULKIA REIT
Read Estate,REITs,4337,MASHAAR REIT
Read Estate,REITs,4338,ALAHLI REIT 1
Read Estate,REITs,4339,DERAYAH REIT
Read Estate,REITs,4340,Al RAJHI REIT
Read Estate,REITs,4342,JADWA REIT SAUDI
Read Estate,REITs,4344,SEDCO CAPITAL REIT
Read Estate,REITs,4345,SWICORP WABEL REIT
Read Estate,REITs,4346,MEFIC REIT
Read Estate,REITs,4347,BONYAN REIT
Read Estate,REITs,4348,ALKHABEER REIT
Read Estate,Real Estate Mgmt & Dev't,4020,ALAKARIA
Read Estate,Real Estate Mgmt & Dev't,4090,TAIBA
Read Estate,Real Estate Mgmt & Dev't,4100,MCDC
Read Estate,Real Estate Mgmt & Dev't,4150,ARDCO
Read Estate,Real Estate Mgmt & Dev't,4220,EMAAR EC
Read Estate,Real Estate Mgmt & Dev't,4230,RED SEA
Read Estate,Real Estate Mgmt & Dev't,4250,JABAL OMAR
Read Estate,Real Estate Mgmt & Dev't,4300,DAR ALARKAN
Read Estate,Real Estate Mgmt & Dev't,4310,KEC
Read Estate,Real Estate Mgmt & Dev't,4320,ALANDALUS
Read Estate,Real Estate Mgmt & Dev't,4321,ALMRAKEZ
Read Estate,Real Estate Mgmt & Dev't,4020,SRECO
Consumer Staples ,Food & Staples Retailing,4161,BINDAWOOD
Industrials,Commercial & Professional Svc,1832,ALSAMAANI
